experiment_id,lambda_joint_soft_group,decoder_name,cohort,metric_name,metric_value
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,QWK_stage,0.284424
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,QWK_stage,0.524089
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,QWK_stage,0.185621
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,QWK_stage,0.203138
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,QWK_stage,0.504199
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,QWK_stage,0.199011
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,QWK_stage,0.197067
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,QWK_stage,0.621027
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,QWK_stage,0.150875
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,QWK_stage,0.171636
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,QWK_stage,0.488292
grandBatch128,joint_ce_on,decoder_non_qwk,handan,AUROC_grade_any_htn,0.7112994815241543
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,AUROC_grade_any_htn,0.7164158305462653
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,AUROC_grade_any_htn,0.9699322416713722
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,AUROC_grade_any_htn,0.6251441753171857
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,AUROC_grade_any_htn,0.6310692853246045
grandBatch128,joint_ce_on,decoder_non_qwk,internal,AUROC_grade_any_htn,0.8046675648727966
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,AUROC_grade_any_htn,0.7112994815241543
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,AUROC_grade_any_htn,0.7164158305462653
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,AUROC_grade_any_htn,0.9699322416713722
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,AUROC_grade_any_htn,0.6251441753171857
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,AUROC_grade_any_htn,0.6310692853246045
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,AUROC_grade_any_htn,0.8046675648727966
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,AUROC_grade_any_htn,0.7112994815241543
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,AUROC_grade_any_htn,0.7164158305462653
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,AUROC_grade_any_htn,0.9699322416713722
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,AUROC_grade_any_htn,0.6251441753171857
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,AUROC_grade_any_htn,0.6310692853246045
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,AUROC_grade_any_htn,0.8046675648727966
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,AUROC_grade_any_htn,0.7142896332263463
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,AUROC_grade_any_htn,0.7193422519509476
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,AUROC_grade_any_htn,0.9662619988706945
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,AUROC_grade_any_htn,0.6284890426758939
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,AUROC_grade_any_htn,0.6328423349699945
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,AUROC_grade_any_htn,0.8016354130477151
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,AUROC_grade_any_htn,0.7142896332263463
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,AUROC_grade_any_htn,0.7193422519509476
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,AUROC_grade_any_htn,0.9662619988706945
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,AUROC_grade_any_htn,0.6284890426758939
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,AUROC_grade_any_htn,0.6328423349699945
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,AUROC_grade_any_htn,0.8016354130477151
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,AUROC_grade_any_htn,0.7142896332263463
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,AUROC_grade_any_htn,0.7193422519509476
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,AUROC_grade_any_htn,0.9662619988706945
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,AUROC_grade_any_htn,0.6284890426758939
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,AUROC_grade_any_htn,0.6328423349699945
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,AUROC_grade_any_htn,0.8016354130477151
grandBatch128,joint_ce_on,decoder_non_qwk,handan,AUROC_grade_ge1,0.7112994815241543
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,AUROC_grade_ge1,0.7164158305462653
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,AUROC_grade_ge1,0.9699322416713722
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,AUROC_grade_ge1,0.6251441753171857
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,AUROC_grade_ge1,0.6310692853246045
grandBatch128,joint_ce_on,decoder_non_qwk,internal,AUROC_grade_ge1,0.8046675648727966
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,AUROC_grade_ge1,0.7112994815241543
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,AUROC_grade_ge1,0.7164158305462653
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,AUROC_grade_ge1,0.9699322416713722
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,AUROC_grade_ge1,0.6251441753171857
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,AUROC_grade_ge1,0.6310692853246045
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,AUROC_grade_ge1,0.8046675648727966
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,AUROC_grade_ge1,0.7112994815241543
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,AUROC_grade_ge1,0.7164158305462653
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,AUROC_grade_ge1,0.9699322416713722
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,AUROC_grade_ge1,0.6251441753171857
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,AUROC_grade_ge1,0.6310692853246045
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,AUROC_grade_ge1,0.8046675648727966
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,AUROC_grade_ge1,0.7142896332263463
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,AUROC_grade_ge1,0.7193422519509476
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,AUROC_grade_ge1,0.9662619988706945
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,AUROC_grade_ge1,0.6284890426758939
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,AUROC_grade_ge1,0.6328423349699945
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,AUROC_grade_ge1,0.8016354130477151
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,AUROC_grade_ge1,0.7142896332263463
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,AUROC_grade_ge1,0.7193422519509476
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,AUROC_grade_ge1,0.9662619988706945
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,AUROC_grade_ge1,0.6284890426758939
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,AUROC_grade_ge1,0.6328423349699945
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,AUROC_grade_ge1,0.8016354130477151
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,AUROC_grade_ge1,0.7142896332263463
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,AUROC_grade_ge1,0.7193422519509476
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,AUROC_grade_ge1,0.9662619988706945
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,AUROC_grade_ge1,0.6284890426758939
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,AUROC_grade_ge1,0.6328423349699945
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,AUROC_grade_ge1,0.8016354130477151
grandBatch128,joint_ce_on,decoder_non_qwk,handan,AUROC_grade_ge2,0.6961861481822366
