experiment_id,lambda_joint_soft_group,decoder_name,cohort,MAE_grade_fused,QWK_grade_fused,MAE_stage_fused,QWK_stage_fused,ACC_grade_fused,ACC_stage_fused,ACC_joint6_fused,AUROC_grade_any_htn_fused,AUROC_grade_ge2_fused,AUROC_grade_ge3_fused,AUROC_stage_any_htn_fused,AUROC_stage_ge2_fused
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,1.5960591133004927,0.08569475043683061,1.1330049261083743,0.09998595702850721,0.3054187192118227,0.3891625615763547,0.3054187192118227,0.6312056737588653,0.6409141583054626,0.6125494071146245,0.6312056737588653,0.6963210702341137
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,1.0680237052306107,0.2902326083572849,0.6227776346302499,0.39691375649403127,0.37748003091986604,0.6640041226488018,0.37722236536975007,0.8002628241521413,0.674737863086426,0.676418569523971,0.8002628241521413,0.801881895208034
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,0.5335968379446641,0.1778588640275388,0.3893280632411067,0.18432184173421162,0.7786561264822134,0.8023715415019763,0.7786561264822134,0.7130003017584288,0.7075759318913944,0.6227541371158392,0.7130003017584288,0.7219589257503949
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,0.5336322869955157,0.20469841123753219,0.38789237668161436,0.21038722398290477,0.7757847533632287,0.8026905829596412,0.7757847533632287,0.71875,0.7147893789709501,0.6333462883793237,0.71875,0.7291644204851753
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,0.31,0.43683327015757845,0.33,0.27184466019417486,0.785,0.805,0.785,0.9669678147939017,0.9558222676200204,0.962051282051282,0.9669678147939017,0.9576541459957477
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,1.6199095022624435,0.07798652959943264,1.158371040723982,0.09083915850028423,0.2986425339366516,0.3755656108597285,0.2986425339366516,0.6276816608996539,0.632639545884579,0.5973266499582289,0.6276816608996539,0.6831924882629108
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,1.5960591133004927,0.08569475043683061,1.1330049261083743,0.09998595702850721,0.3054187192118227,0.3891625615763547,0.3054187192118227,0.6312056737588653,0.6409141583054626,0.6125494071146245,0.6312056737588653,0.6963210702341137
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,1.0680237052306107,0.2902326083572849,0.6227776346302499,0.39691375649403127,0.37748003091986604,0.6640041226488018,0.37722236536975007,0.8002628241521413,0.674737863086426,0.676418569523971,0.8002628241521413,0.801881895208034
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,0.5335968379446641,0.1778588640275388,0.3893280632411067,0.18432184173421162,0.7786561264822134,0.8023715415019763,0.7786561264822134,0.7130003017584288,0.7075759318913944,0.6227541371158392,0.7130003017584288,0.7219589257503949
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,0.5336322869955157,0.20469841123753219,0.38789237668161436,0.21038722398290477,0.7757847533632287,0.8026905829596412,0.7757847533632287,0.71875,0.7147893789709501,0.6333462883793237,0.71875,0.7291644204851753
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,0.31,0.43683327015757845,0.33,0.27184466019417486,0.785,0.805,0.785,0.9669678147939017,0.9558222676200204,0.962051282051282,0.9669678147939017,0.9576541459957477
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,1.6199095022624435,0.07798652959943264,1.158371040723982,0.09083915850028423,0.2986425339366516,0.3755656108597285,0.2986425339366516,0.6276816608996539,0.632639545884579,0.5973266499582289,0.6276816608996539,0.6831924882629108
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,1.5960591133004927,0.08569475043683061,1.1330049261083743,0.09998595702850721,0.3054187192118227,0.3891625615763547,0.3054187192118227,0.6312056737588653,0.6409141583054626,0.6125494071146245,0.6312056737588653,0.6963210702341137
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,1.0680237052306107,0.2902326083572849,0.6227776346302499,0.39691375649403127,0.37748003091986604,0.6640041226488018,0.37722236536975007,0.8002628241521413,0.674737863086426,0.676418569523971,0.8002628241521413,0.801881895208034
